Designator,Mid X,Mid Y,Rotation,Layer
MX26,-54.506956,-147.612251,180.0,top
MX27,-73.556956,-147.612251,180.0,top
MX28,-92.606956,-147.612251,180.0,top
MX29,-111.656956,-147.612251,180.0,top
MX3_2,55.030544,-123.799751,0.0,top
MX3,40.743044,-123.799751,180.0,top
MX30,-130.706956,-147.612251,180.0,top
MX31,-149.756956,-147.612251,0.0,top
MX32,-168.806956,-147.612251,0.0,top
MX33,-159.281956,-147.612251,180.0,top
MX34,-192.619456,-147.612251,180.0,top
MX35,-211.669456,-147.612251,180.0,top
MX36,-230.719456,-147.612251,180.0,top
MX37,-144.994456,-185.712251,180.0,top
MX38,93.130544,-166.662251,180.0,top
MX39,69.318044,-166.662251,180.0,top
MX4,35.980544,-123.799751,0.0,top
MX40,50.268044,-166.662251,180.0,top
MX41,31.218044,-166.662251,180.0,top
MX42,12.168044,-166.662251,180.0,top
MX43,-6.881956,-166.662251,180.0,top
MX44,-25.931956,-166.662251,180.0,top
MX45,-44.981956,-166.662251,180.0,top
MX46,-64.031956,-166.662251,180.0,top
MX47,-83.081956,-166.662251,180.0,top
MX48,-102.131956,-166.662251,180.0,top
MX49,-121.181956,-166.662251,180.0,top
MX5_2,21.693044,-123.799751,180.0,top
MX5,16.930544,-123.799252,0.0,top
MX50,-140.231956,-166.662251,180.0,top
MX51,-164.044456,-166.662251,0.0,top
MX52,-192.619456,-166.662251,180.0,top
MX53,-211.669456,-166.662251,180.0,top
MX54,-230.719456,-166.662251,180.0,top
MX55,95.511794,-185.712251,180.0,top
MX56,-166.425706,-176.187251,180.0,top
MX58,64.555544,-185.712251,180.0,top
MX59,45.505544,-185.712251,180.0,top
MX6_2,2.643044,-123.799751,180.0,top
MX6,-6.882456,-123.799751,0.0,top
MX60,26.455544,-185.712251,180.0,top
MX61,7.405544,-185.712251,180.0,top
MX62,-11.644456,-185.712251,180.0,top
MX63,-30.694456,-185.712251,180.0,top
MX64,-49.744456,-185.712251,180.0,top
MX65,-68.794456,-185.712251,180.0,top
MX66,-87.844456,-185.712251,180.0,top
MX67,-106.894456,-185.712251,180.0,top
MX68,-125.944456,-185.712251,180.0,top
MX69,-156.900706,-185.712251,180.0,top
MX7,-25.932456,-123.799751,180.0,top
MX70,-211.669456,-204.762251,180.0,top
MX71,95.511794,-204.762251,0.0,top
MX72,85.986794,-204.762251,180.0,top
MX73,74.080544,-204.762251,0.0,top
MX74,55.030544,-204.762251,180.0,top
MX75,35.980544,-204.762251,180.0,top
MX76,16.930544,-204.762251,180.0,top
MX77,-2.119456,-204.762251,180.0,top
MX78,-21.169456,-204.762251,180.0,top
MX79,-40.219456,-204.762251,180.0,top
MX8,-44.982456,-123.799751,180.0,top
MX80,-59.269456,-204.762251,180.0,top
MX81,-78.319456,-204.762251,180.0,top
MX82,-97.369456,-204.762251,180.0,top
MX83,-116.419456,-204.762251,180.0,top
MX84,-142.613206,-204.762251,0.0,top
MX85,-168.807457,-204.761751,0.0,top
MX86,-152.138206,-204.762251,180.0,top
MX87,-192.619456,-223.812251,180.0,top
MX88,-211.669456,-223.812251,180.0,top
MX89,-230.719456,-223.812251,180.0,top
MX9,-64.032456,-123.799751,180.0,top
MX98,93.130544,-223.812251,180.0,top
MX99,69.318044,-223.812251,180.0,top
R1,-184.237549,-118.79842,0.0,top
R2,-177.237549,-119.79842,90.0,top
R4,-198.769456,-171.929751,90.0,top
R5,-187.769456,-177.579751,-90.0,top
R6,-186.169456,-177.579751,-90.0,top
R7,-189.969456,-204.754751,-90.0,top
RESET1,-176.737549,-224.79842,-90.0,top
U1,-181.469456,-141.429751,90.0,top
U2,-198.419456,-178.429751,0.0,top
U3,-190.275706,-192.268679,0.0,top
U4,-182.069456,-156.729751,0.0,top
USB_BOOT1,-209.487549,-186.04842,90.0,top
Y1,-191.069456,-208.148501,0.0,top
